model,pk,fields,source_file,id,name,slug,description,short_description,email,phone,website,address,city_name,country_name,postal_code,latitude,longitude,category_name,plan,status,featured,verified,meta_title,meta_description,keywords,views_count,clicks_count,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,created_at,updated_at,published_at
,,,businesses_20251027_113824.csv,3483b6f6-c56e-49b0-9e2e-8341fb31991f,#Maître Gaillard Fabien,maitre-gaillard-fabien,Professional lawyer services.,,info@maitregaillardfabien.com,06 10 14 23 92,https://consultation.avocat.fr/avocat-paris/fabien-gaillard-55433.html,"11 Bd de Sébastopol, 75001 Paris, France",Paris,France,,48.858952,2.348167,Law Firms,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:46:57.451877+00:00,2025-10-06T12:46:57.451877+00:00,2025-10-06T12:46:57.450374+00:00
,,,businesses_20251027_113824.csv,7c6a03c6-3574-468b-81b9-cd6296289f90,& Other Stories,other-stories,Professional clothing store services.,,info@otherstories.com,930 39 33 09,https://www.stories.com/en_eur/,"Pg. de Gràcia, 8, 10, L'Eixample, 08007 Barcelona, Spain",Barcelona,Spain,,41.389059,2.16928,Fashion Boutiques,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:44:20.461682+00:00,2025-10-06T12:44:20.461682+00:00,2025-10-06T12:44:20.461682+00:00
,,,businesses_20251027_113824.csv,f07ab48d-c7f6-421d-b9bc-14db39dbf7dc,+Vida Vet Clínica Veterinària,vida-vet-clinica-veterinaria,Professional veterinary care services.,,info@vidavetclinicaveterinaria.com,934 08 61 04,http://www.vidavet.es/,"Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona, Spain",Barcelona,Spain,,41.422383,2.178334,Veterinary Clinics,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:44:35.491982+00:00,2025-10-06T12:44:35.491982+00:00,2025-10-06T12:44:35.491982+00:00
,,,businesses_20251027_113824.csv,227d2749-148f-45f4-8c27-2a1f8ca1a437,-,-7,Professional bank services.,,info@.com,963 92 49 20,http://www.andbank.es/,"Carrer de Pérez Pujol, 4, 4º, Ciutat Vella, 46002 València, Valencia, Spain",Valencia,Spain,,39.470124,-0.37495,Banks,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:45:12.157094+00:00,2025-10-06T12:45:12.157094+00:00,2025-10-06T12:45:12.156096+00:00
,,,businesses_20251027_113824.csv,8f5532bb-1573-4eff-a978-4b2b4356f58a,123GOLD Trauring-Zentrum Berlin,123gold-trauring-zentrum-berlin,Professional jewelry store services.,,info@123goldtrauringzentrumberlin.com,030 610818980,https://www.123gold.de/standorte/berlin/,"Potsdamer Platz 9, 10117 Berlin, Germany",Berlin,Germany,,52.508525,13.37753,Jewelry Stores,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:07:20.625254+00:00,2025-10-06T12:07:20.625254+00:00,2025-10-06T12:07:20.625254+00:00
,,,businesses_20251027_113824.csv,005b320b-3eba-40e4-bbd6-488f75f55cea,13 Auto Service,13-auto-service,Professional car repair services.,,info@13autoservice.com,09 81 71 63 89,,"16 Bd Sainte-Thérèse, 13005 Marseille, France",Marseille,France,,43.292402,5.409972,Auto Repair,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T13:03:02.186655+00:00,2025-10-06T13:03:02.186655+00:00,2025-10-06T13:03:02.186655+00:00
,,,businesses_20251027_113824.csv,6ecb17bf-9826-4284-82aa-1b7fe3920528,1850 Urban Spa Barcelona,1850-urban-spa-barcelona,Professional spa services.,,info@1850urbanspabarcelona.com,930 16 05 66,https://www.1850urbanspabarcelona.com/,"Carrer de la Diputació, 75, L'Eixample, 08015 Barcelona, Spain",Barcelona,Spain,,41.381109,2.154539,Spas,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:44:36.310925+00:00,2025-10-06T12:44:36.310925+00:00,2025-10-06T12:44:36.310925+00:00
,,,businesses_20251027_113824.csv,f603726a-2fc9-4862-8042-c73e6a3e1cd6,1860 Le Palais,1860-le-palais,Professional french restaurant services.,,info@1860lepalais.com,04 91 99 54 84,https://www.1860lepalais.fr/,"9 La Canebière Vieux Port, 13001 Marseille, France",Marseille,France,,43.296055,5.375157,French Restaurants,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T13:02:47.573207+00:00,2025-10-06T13:02:47.573207+00:00,2025-10-06T13:02:47.572209+00:00
,,,businesses_20251027_113824.csv,51a89a62-6746-4391-b989-d2b798983a73,1862 Dry Bar,1862-dry-bar,Signature & classic cocktails served in an elegant street-level bar or in a cozy vaulted cellar.,,info@1862drybar.com,609 53 11 51,https://1862drybar.myrestoo.net/es/reservar/seleccionar-horario?update_booking_id=&status_id=1&pax=2&pax_children=0&date=2024-05-09&time=16%3A00%3A00&experience_id=&experience_tickets=&area_id=&button_pax=2&input_party_size=7&button_date=2024-05-09&booking-date=&booking-date_submit=,"C. del Pez, 27, Centro, 28004 Madrid, Spain",Madrid,Spain,,40.424163,-3.706529,Bars & Pubs,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:16:49.898284+00:00,2025-10-06T12:16:49.898284+00:00,2025-10-06T12:16:49.897277+00:00
,,,businesses_20251027_113824.csv,ed4411ec-fc55-4762-a538-3808c7bddd24,25hours Hotel Bikini Berlin,25hours-hotel-bikini-berlin,"Trendy lodging next to the zoo featuring a buzzy rooftop bar & a restaurant, plus a sauna.",,info@25hourshotelbikiniberlin.com,030 1202210,https://25hours-hotels.com/berlin/bikini-berlin/,"Budapester Str. 40, 10787 Berlin, Germany",Berlin,Germany,,52.505721,13.337689,Hotels,free,active,False,True,,,,0.0,0.0,,,,,,,,2025-10-06T12:21:54.710584+00:00,2025-10-06T12:21:54.710584+00:00,2025-10-06T12:21:54.710584+00:00
