city_slug,source_id,name,category_slug,category_source,address,postal_code,latitude,longitude,phone,website,social_url,website_status,source_timestamp,duplicate_status,duplicate_reason,review_reason,raw_tags
antwerp,osm:node/89377140,@The Park,cafe,amenity=cafe,,,51.1973745,4.4631918,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""cafe"", ""name"": ""@The Park""}"
antwerp,osm:node/247308726,Albert Heijn,supermarkets,shop=supermarket,Groenplaats 43,2000,51.2183465,4.4015387,+32 3269 1010,https://www.ah.be/winkel/3138,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,,"{""addr:housenumber"": ""43"", ""addr:postcode"": ""2000"", ""addr:street"": ""Groenplaats"", ""brand"": ""Albert Heijn"", ""name"": ""Albert Heijn"", ""phone"": ""+32 3269 1010"", ""shop"": ""supermarket"", ""website"": ""https://www.ah.be/winkel/3138""}"
antwerp,osm:node/248701820,Apotheek Roosevelt,pharmacy,amenity=pharmacy,,,51.2196979,4.41493,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Apotheek Roosevelt""}"
antwerp,osm:node/248701898,Apotheek Krols,pharmacy,amenity=pharmacy,,,51.2249239,4.4097546,,https://apotheek-krols.business.site,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Apotheek Krols"", ""website"": ""https://apotheek-krols.business.site""}"
antwerp,osm:node/248702004,Shipping Dispensary,pharmacy,amenity=pharmacy,,,51.2267041,4.414979,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Shipping Dispensary"", ""operator"": ""AFS""}"
antwerp,osm:node/251542005,Carrefour Market,supermarkets,shop=supermarket,,,51.2186142,4.4025481,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""brand"": ""Carrefour Market"", ""name"": ""Carrefour Market"", ""shop"": ""supermarket""}"
antwerp,osm:node/290173235,Gommers,pastry-shops,shop=bakery,Diksmuidelaan 130,,51.196535,4.4432662,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""addr:housenumber"": ""130"", ""addr:street"": ""Diksmuidelaan"", ""name"": ""Gommers"", ""shop"": ""bakery""}"
antwerp,osm:node/290383133,Hilton Antwerp Old Town,hotel,tourism=hotel,Groenplaats 32,2000,51.2192758,4.4022091,+32 3 204 12 12,https://www.hilton.com/en/hotels/anrhitw-hilton-antwerp-old-town/?SEO_id=OTHR-EMEA-TW-ANRHITW,https://www.facebook.com/HiltonAntwerpOldTown,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,,"{""addr:housenumber"": ""32"", ""addr:postcode"": ""2000"", ""addr:street"": ""Groenplaats"", ""brand"": ""Hilton"", ""contact:facebook"": ""https://www.facebook.com/HiltonAntwerpOldTown"", ""contact:instagram"": ""https://www.instagram.com/hiltonantwerp/"", ""name"": ""Hilton Antwerp Old Town"", ""operator"": ""Hilton"", ""phone"": ""+32 3 204 12 12"", ""tourism"": ""hotel"", ""website"": ""https://www.hilton.com/en/hotels/anrhitw-hilton-antwerp-old-town/?SEO_id=OTHR-EMEA-TW-ANRHITW""}"
antwerp,osm:node/296394885,DJo’s,bars-pubs,amenity=pub,,,51.2021268,4.4610982,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""DJo’s""}"
antwerp,osm:node/297296979,Eddy Janssens,veterinary,amenity=veterinary,291,,51.1930795,4.4461398,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""addr:housenumber"": ""291"", ""amenity"": ""veterinary"", ""name"": ""Eddy Janssens""}"
antwerp,osm:node/297314329,Ons Huis,bars-pubs,amenity=pub,,,51.1950326,4.4421409,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""Ons Huis""}"
antwerp,osm:node/305753468,De Schorren,bars-pubs,amenity=pub,,,51.185283,4.3420819,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""De Schorren""}"
