external_id,source,source_url,name,legal_name,description,category_primary,category_secondary,tags,website,email,phone,address_line1,address_line2,postal_code,city,region,country_code,country,latitude,longitude,facebook,instagram,linkedin,logo_url,image_url,opening_hours,status,verified,notes,created_at,updated_at
3483b6f6-c56e-49b0-9e2e-8341fb31991f,real_businesses_data,,#Maître Gaillard Fabien,,Professional lawyer services.,,,,https://consultation.avocat.fr/avocat-paris/fabien-gaillard-55433.html,info@maitregaillardfabien.com,06 10 14 23 92,"11 Bd de Sébastopol, 75001 Paris, France",,,,,,,48.858952,2.348167,,,,,,,active,True,,2025-10-06T12:46:57.451877+00:00,2025-10-06T12:46:57.451877+00:00
7c6a03c6-3574-468b-81b9-cd6296289f90,real_businesses_data,,& Other Stories,,Professional clothing store services.,,,,https://www.stories.com/en_eur/,info@otherstories.com,930 39 33 09,"Pg. de Gràcia, 8, 10, L'Eixample, 08007 Barcelona, Spain",,,,,,,41.389059,2.16928,,,,,,,active,True,,2025-10-06T12:44:20.461682+00:00,2025-10-06T12:44:20.461682+00:00
f07ab48d-c7f6-421d-b9bc-14db39dbf7dc,real_businesses_data,,+Vida Vet Clínica Veterinària,,Professional veterinary care services.,,,,http://www.vidavet.es/,info@vidavetclinicaveterinaria.com,934 08 61 04,"Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona, Spain",,,,,,,41.422383,2.178334,,,,,,,active,True,,2025-10-06T12:44:35.491982+00:00,2025-10-06T12:44:35.491982+00:00
227d2749-148f-45f4-8c27-2a1f8ca1a437,real_businesses_data,,-,,Professional bank services.,,,,http://www.andbank.es/,info@.com,963 92 49 20,"Carrer de Pérez Pujol, 4, 4º, Ciutat Vella, 46002 València, Valencia, Spain",,,,,,,39.470124,-0.37495,,,,,,,active,True,,2025-10-06T12:45:12.157094+00:00,2025-10-06T12:45:12.157094+00:00
8f5532bb-1573-4eff-a978-4b2b4356f58a,real_businesses_data,,123GOLD Trauring-Zentrum Berlin,,Professional jewelry store services.,,,,https://www.123gold.de/standorte/berlin/,info@123goldtrauringzentrumberlin.com,030 610818980,"Potsdamer Platz 9, 10117 Berlin, Germany",,,,,,,52.508525,13.37753,,,,,,,active,True,,2025-10-06T12:07:20.625254+00:00,2025-10-06T12:07:20.625254+00:00
005b320b-3eba-40e4-bbd6-488f75f55cea,real_businesses_data,,13 Auto Service,,Professional car repair services.,,,,,info@13autoservice.com,09 81 71 63 89,"16 Bd Sainte-Thérèse, 13005 Marseille, France",,,,,,,43.292402,5.409972,,,,,,,active,True,,2025-10-06T13:03:02.186655+00:00,2025-10-06T13:03:02.186655+00:00
6ecb17bf-9826-4284-82aa-1b7fe3920528,real_businesses_data,,1850 Urban Spa Barcelona,,Professional spa services.,,,,https://www.1850urbanspabarcelona.com/,info@1850urbanspabarcelona.com,930 16 05 66,"Carrer de la Diputació, 75, L'Eixample, 08015 Barcelona, Spain",,,,,,,41.381109,2.154539,,,,,,,active,True,,2025-10-06T12:44:36.310925+00:00,2025-10-06T12:44:36.310925+00:00
f603726a-2fc9-4862-8042-c73e6a3e1cd6,real_businesses_data,,1860 Le Palais,,Professional french restaurant services.,,,,https://www.1860lepalais.fr/,info@1860lepalais.com,04 91 99 54 84,"9 La Canebière Vieux Port, 13001 Marseille, France",,,,,,,43.296055,5.375157,,,,,,,active,True,,2025-10-06T13:02:47.573207+00:00,2025-10-06T13:02:47.573207+00:00
51a89a62-6746-4391-b989-d2b798983a73,real_businesses_data,,1862 Dry Bar,,Signature & classic cocktails served in an elegant street-level bar or in a cozy vaulted cellar.,,,,https://1862drybar.myrestoo.net/es/reservar/seleccionar-horario?update_booking_id=&status_id=1&pax=2&pax_children=0&date=2024-05-09&time=16%3A00%3A00&experience_id=&experience_tickets=&area_id=&button_pax=2&input_party_size=7&button_date=2024-05-09&booking-date=&booking-date_submit=,info@1862drybar.com,609 53 11 51,"C. del Pez, 27, Centro, 28004 Madrid, Spain",,,,,,,40.424163,-3.706529,,,,,,,active,True,,2025-10-06T12:16:49.898284+00:00,2025-10-06T12:16:49.898284+00:00
ed4411ec-fc55-4762-a538-3808c7bddd24,real_businesses_data,,25hours Hotel Bikini Berlin,,"Trendy lodging next to the zoo featuring a buzzy rooftop bar & a restaurant, plus a sauna.",,,,https://25hours-hotels.com/berlin/bikini-berlin/,info@25hourshotelbikiniberlin.com,030 1202210,"Budapester Str. 40, 10787 Berlin, Germany",,,,,,,52.505721,13.337689,,,,,,,active,True,,2025-10-06T12:21:54.710584+00:00,2025-10-06T12:21:54.710584+00:00
